fname,varnum,field,nonnullCNT,datatype
Appearances.csv,0,yearID,105789,int64
Appearances.csv,1,teamID,105789,object
Appearances.csv,2,lgID,105052,object
Appearances.csv,3,playerID,105789,object
Appearances.csv,4,G_all,105789,int64
Appearances.csv,5,GS,96020,float64
Appearances.csv,6,G_batting,105789,int64
Appearances.csv,7,G_defense,98091,float64
Appearances.csv,8,G_p,105789,int64
Appearances.csv,9,G_c,105789,int64
Appearances.csv,10,G_1b,105789,int64
Appearances.csv,11,G_2b,105789,int64
Appearances.csv,12,G_3b,105789,int64
Appearances.csv,13,G_ss,105789,int64
Appearances.csv,14,G_lf,105789,int64
Appearances.csv,15,G_cf,105789,int64
Appearances.csv,16,G_rf,105789,int64
Appearances.csv,17,G_of,105789,int64
Appearances.csv,18,G_dh,103718,float64
Appearances.csv,19,G_ph,96020,float64
Appearances.csv,20,G_pr,96020,float64
AllstarFull.csv,0,playerID,5291,object
AllstarFull.csv,1,yearID,5291,int64
AllstarFull.csv,2,gameNum,5291,int64
AllstarFull.csv,3,gameID,5242,object
AllstarFull.csv,4,teamID,5291,object
AllstarFull.csv,5,lgID,5291,object
AllstarFull.csv,6,GP,5272,float64
AllstarFull.csv,7,startingPos,1640,float64
AwardsManagers.csv,0,playerID,179,object
AwardsManagers.csv,1,awardID,179,object
AwardsManagers.csv,2,yearID,179,int64
AwardsManagers.csv,3,lgID,179,object
AwardsManagers.csv,4,tie,2,object
AwardsManagers.csv,5,notes,1,object
HomeGames.csv,0,year.key,3074,int64
HomeGames.csv,1,league.key,2997,object
HomeGames.csv,2,team.key,3074,object
HomeGames.csv,3,park.key,3074,object
HomeGames.csv,4,span.first,3074,object
HomeGames.csv,5,span.last,3074,object
HomeGames.csv,6,games,3074,int64
HomeGames.csv,7,openings,3074,int64
HomeGames.csv,8,attendance,3074,int64
Schools.csv,0,schoolID,1207,object
Schools.csv,1,name_full,1207,object
Schools.csv,2,city,1207,object
Schools.csv,3,state,1207,object
Schools.csv,4,country,1207,object
PitchingPost.csv,0,playerID,5624,object
PitchingPost.csv,1,yearID,5624,int64
PitchingPost.csv,2,round,5624,object
PitchingPost.csv,3,teamID,5624,object
PitchingPost.csv,4,lgID,5624,object
PitchingPost.csv,5,W,5624,int64
PitchingPost.csv,6,L,5624,int64
PitchingPost.csv,7,G,5624,int64
PitchingPost.csv,8,GS,5624,int64
PitchingPost.csv,9,CG,5624,int64
PitchingPost.csv,10,SHO,5624,int64
PitchingPost.csv,11,SV,5624,int64
PitchingPost.csv,12,IPouts,5624,int64
PitchingPost.csv,13,H,5624,int64
PitchingPost.csv,14,ER,5624,int64
PitchingPost.csv,15,HR,5624,int64
PitchingPost.csv,16,BB,5624,int64
PitchingPost.csv,17,SO,5624,int64
PitchingPost.csv,18,BAOpp,5554,float64
PitchingPost.csv,19,ERA,5592,float64
PitchingPost.csv,20,IBB,5574,float64
PitchingPost.csv,21,WP,5574,float64
PitchingPost.csv,22,HBP,5574,float64
PitchingPost.csv,23,BK,5574,float64
PitchingPost.csv,24,BFP,5574,float64
PitchingPost.csv,25,GF,5624,int64
PitchingPost.csv,26,R,5624,int64
PitchingPost.csv,27,SH,5574,float64
PitchingPost.csv,28,SF,5574,float64
PitchingPost.csv,29,GIDP,5574,float64
People.csv,0,playerID,19878,object
People.csv,1,birthYear,19761,float64
People.csv,2,birthMonth,19594,float64
People.csv,3,birthDay,19451,float64
People.csv,4,birthCountry,19816,object
People.csv,5,birthState,19336,object
People.csv,6,birthCity,19704,object
People.csv,7,deathYear,9739,float64
People.csv,8,deathMonth,9738,float64
People.csv,9,deathDay,9737,float64
People.csv,10,deathCountry,9737,object
People.csv,11,deathState,9688,object
People.csv,12,deathCity,9732,object
People.csv,13,nameFirst,19841,object
People.csv,14,nameLast,19878,object
People.csv,15,nameGiven,19841,object
People.csv,16,weight,19058,float64
People.csv,17,height,19140,float64
People.csv,18,bats,18695,object
People.csv,19,throws,18901,object
People.csv,20,debut,19682,object
People.csv,21,finalGame,19682,object
People.csv,22,retroID,19561,object
People.csv,23,bbrefID,19876,object
AwardsPlayers.csv,0,playerID,6236,object
AwardsPlayers.csv,1,awardID,6236,object
AwardsPlayers.csv,2,yearID,6236,int64
AwardsPlayers.csv,3,lgID,6235,object
AwardsPlayers.csv,4,tie,49,object
AwardsPlayers.csv,5,notes,4768,object
TeamsFranchises.csv,0,franchID,120,object
TeamsFranchises.csv,1,franchName,120,object
TeamsFranchises.csv,2,active,95,object
TeamsFranchises.csv,3,NAassoc,12,object
BattingPost.csv,0,yearID,14354,int64
BattingPost.csv,1,round,14354,object
BattingPost.csv,2,playerID,14354,object
BattingPost.csv,3,teamID,14354,object
BattingPost.csv,4,lgID,14354,object
BattingPost.csv,5,G,14354,int64
BattingPost.csv,6,AB,14354,int64
BattingPost.csv,7,R,14354,int64
BattingPost.csv,8,H,14354,int64
BattingPost.csv,9,2B,14354,int64
BattingPost.csv,10,3B,14354,int64
BattingPost.csv,11,HR,14354,int64
BattingPost.csv,12,RBI,14354,int64
BattingPost.csv,13,SB,14354,int64
BattingPost.csv,14,CS,14153,float64
BattingPost.csv,15,BB,14354,int64
BattingPost.csv,16,SO,14354,int64
BattingPost.csv,17,IBB,14354,int64
BattingPost.csv,18,HBP,14153,float64
BattingPost.csv,19,SH,14153,float64
BattingPost.csv,20,SF,14153,float64
BattingPost.csv,21,GIDP,14153,float64
Fielding.csv,0,playerID,140921,object
Fielding.csv,1,yearID,140921,int64
Fielding.csv,2,stint,140921,int64
Fielding.csv,3,teamID,140921,object
Fielding.csv,4,lgID,139408,object
Fielding.csv,5,POS,140921,object
Fielding.csv,6,G,140921,int64
Fielding.csv,7,GS,93544,float64
Fielding.csv,8,InnOuts,110992,float64
Fielding.csv,9,PO,140921,int64
Fielding.csv,10,A,140921,int64
Fielding.csv,11,E,140920,float64
Fielding.csv,12,DP,140921,int64
Fielding.csv,13,PB,11478,float64
Fielding.csv,14,WP,1169,float64
Fielding.csv,15,SB,8691,float64
Fielding.csv,16,CS,8691,float64
Fielding.csv,17,ZR,1169,float64
SeriesPost.csv,0,yearID,334,int64
SeriesPost.csv,1,round,334,object
SeriesPost.csv,2,teamIDwinner,334,object
SeriesPost.csv,3,lgIDwinner,334,object
SeriesPost.csv,4,teamIDloser,334,object
SeriesPost.csv,5,lgIDloser,334,object
SeriesPost.csv,6,wins,334,int64
SeriesPost.csv,7,losses,334,int64
SeriesPost.csv,8,ties,334,int64
HallOfFame.csv,0,playerID,4191,object
HallOfFame.csv,1,yearID,4191,int64
HallOfFame.csv,2,votedBy,4191,object
HallOfFame.csv,3,ballots,3994,float64
HallOfFame.csv,4,needed,3837,float64
HallOfFame.csv,5,votes,3994,float64
HallOfFame.csv,6,inducted,4191,object
HallOfFame.csv,7,category,4191,object
HallOfFame.csv,8,needed_note,157,object
Pitching.csv,0,playerID,46699,object
Pitching.csv,1,yearID,46699,int64
Pitching.csv,2,stint,46699,int64
Pitching.csv,3,teamID,46699,object
Pitching.csv,4,lgID,46567,object
Pitching.csv,5,W,46699,int64
Pitching.csv,6,L,46699,int64
Pitching.csv,7,G,46699,int64
Pitching.csv,8,GS,46699,int64
Pitching.csv,9,CG,46699,int64
Pitching.csv,10,SHO,46699,int64
Pitching.csv,11,SV,46699,int64
Pitching.csv,12,IPouts,46699,int64
Pitching.csv,13,H,46699,int64
Pitching.csv,14,ER,46699,int64
Pitching.csv,15,HR,46699,int64
Pitching.csv,16,BB,46699,int64
Pitching.csv,17,SO,46699,int64
Pitching.csv,18,BAOpp,42259,float64
Pitching.csv,19,ERA,46607,float64
Pitching.csv,20,IBB,32121,float64
Pitching.csv,21,WP,46699,int64
Pitching.csv,22,HBP,45965,float64
Pitching.csv,23,BK,46699,int64
Pitching.csv,24,BFP,46696,float64
Pitching.csv,25,GF,46699,int64
Pitching.csv,26,R,46699,int64
Pitching.csv,27,SH,27512,float64
Pitching.csv,28,SF,27512,float64
Pitching.csv,29,GIDP,26381,float64
FieldingOF.csv,0,playerID,12028,object
FieldingOF.csv,1,yearID,12028,int64
FieldingOF.csv,2,stint,12028,int64
FieldingOF.csv,3,Glf,11991,float64
FieldingOF.csv,4,Gcf,11991,float64
FieldingOF.csv,5,Grf,11985,float64
FieldingPost.csv,0,playerID,13534,object
FieldingPost.csv,1,yearID,13534,int64
FieldingPost.csv,2,teamID,13534,object
FieldingPost.csv,3,lgID,13534,object
FieldingPost.csv,4,round,13534,object
FieldingPost.csv,5,POS,13534,object
FieldingPost.csv,6,G,13534,int64
FieldingPost.csv,7,GS,13534,int64
FieldingPost.csv,8,InnOuts,13534,int64
FieldingPost.csv,9,PO,13534,int64
FieldingPost.csv,10,A,13534,int64
FieldingPost.csv,11,E,13534,int64
FieldingPost.csv,12,DP,13534,int64
FieldingPost.csv,13,TP,13534,int64
FieldingPost.csv,14,PB,1060,float64
FieldingPost.csv,15,SB,0,float64
FieldingPost.csv,16,CS,0,float64
Batting.csv,0,playerID,105861,object
Batting.csv,1,yearID,105861,int64
Batting.csv,2,stint,105861,int64
Batting.csv,3,teamID,105861,object
Batting.csv,4,lgID,105123,object
Batting.csv,5,G,105861,int64
Batting.csv,6,AB,105861,int64
Batting.csv,7,R,105861,int64
Batting.csv,8,H,105861,int64
Batting.csv,9,2B,105861,int64
Batting.csv,10,3B,105861,int64
Batting.csv,11,HR,105861,int64
Batting.csv,12,RBI,105105,float64
Batting.csv,13,SB,103493,float64
Batting.csv,14,CS,82320,float64
Batting.csv,15,BB,105861,int64
Batting.csv,16,SO,103761,float64
Batting.csv,17,IBB,69210,float64
Batting.csv,18,HBP,103044,float64
Batting.csv,19,SH,99792,float64
Batting.csv,20,SF,69757,float64
Batting.csv,21,GIDP,80420,float64
Teams.csv,0,yearID,2895,int64
Teams.csv,1,lgID,2845,object
Teams.csv,2,teamID,2895,object
Teams.csv,3,franchID,2895,object
Teams.csv,4,divID,1378,object
Teams.csv,5,Rank,2895,int64
Teams.csv,6,G,2895,int64
Teams.csv,7,Ghome,2496,float64
Teams.csv,8,W,2895,int64
Teams.csv,9,L,2895,int64
Teams.csv,10,DivWin,1350,object
Teams.csv,11,WCWin,714,object
Teams.csv,12,LgWin,2867,object
Teams.csv,13,WSWin,2538,object
Teams.csv,14,R,2895,int64
Teams.csv,15,AB,2895,int64
Teams.csv,16,H,2895,int64
Teams.csv,17,2B,2895,int64
Teams.csv,18,3B,2895,int64
Teams.csv,19,HR,2895,int64
Teams.csv,20,BB,2894,float64
Teams.csv,21,SO,2879,float64
Teams.csv,22,SB,2769,float64
Teams.csv,23,CS,2063,float64
Teams.csv,24,HBP,1737,float64
Teams.csv,25,SF,1354,float64
Teams.csv,26,RA,2895,int64
Teams.csv,27,ER,2895,int64
Teams.csv,28,ERA,2895,float64
Teams.csv,29,CG,2895,int64
Teams.csv,30,SHO,2895,int64
Teams.csv,31,SV,2895,int64
Teams.csv,32,IPouts,2895,int64
Teams.csv,33,HA,2895,int64
Teams.csv,34,HRA,2895,int64
Teams.csv,35,BBA,2895,int64
Teams.csv,36,SOA,2895,int64
Teams.csv,37,E,2895,int64
Teams.csv,38,DP,2895,int64
Teams.csv,39,FP,2895,float64
Teams.csv,40,name,2895,object
Teams.csv,41,park,2861,object
Teams.csv,42,attendance,2616,float64
Teams.csv,43,BPF,2895,int64
Teams.csv,44,PPF,2895,int64
Teams.csv,45,teamIDBR,2895,object
Teams.csv,46,teamIDlahman45,2895,object
Teams.csv,47,teamIDretro,2895,object
Managers.csv,0,playerID,3504,object
Managers.csv,1,yearID,3504,int64
Managers.csv,2,teamID,3504,object
Managers.csv,3,lgID,3437,object
Managers.csv,4,inseason,3504,int64
Managers.csv,5,G,3504,int64
Managers.csv,6,W,3504,int64
Managers.csv,7,L,3504,int64
Managers.csv,8,rank,3503,float64
Managers.csv,9,plyrMgr,3504,object
CollegePlaying.csv,0,playerID,17350,object
CollegePlaying.csv,1,schoolID,17350,object
CollegePlaying.csv,2,yearID,17350,int64
Parks.csv,0,park.key,252,object
Parks.csv,1,park.name,252,object
Parks.csv,2,park.alias,58,object
Parks.csv,3,city,252,object
Parks.csv,4,state,251,object
Parks.csv,5,country,252,object
Salaries.csv,0,yearID,26428,int64
Salaries.csv,1,teamID,26428,object
Salaries.csv,2,lgID,26428,object
Salaries.csv,3,playerID,26428,object
Salaries.csv,4,salary,26428,int64
